"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"114";"SLOVENIJA";"13";"2014";"Moski";15699
"115";"SLOVENIJA";"13";"2015";"Moski";15556
"116";"SLOVENIJA";"13";"2016";"Moski";15642
"117";"SLOVENIJA";"13";"2017";"Moski";16707
"118";"SLOVENIJA";"14";"2009";"Moski";16697
"119";"SLOVENIJA";"14";"2010";"Moski";16115
"120";"SLOVENIJA";"14";"2011";"Moski";15470
"121";"SLOVENIJA";"14";"2012";"Moski";15135
"122";"SLOVENIJA";"14";"2013";"Moski";14836
"123";"SLOVENIJA";"14";"2014";"Moski";15430
"124";"SLOVENIJA";"14";"2015";"Moski";15312
"125";"SLOVENIJA";"14";"2016";"Moski";15550
"126";"SLOVENIJA";"14";"2017";"Moski";16014
"127";"SLOVENIJA";"15";"2009";"Moski";16489
"128";"SLOVENIJA";"15";"2010";"Moski";15977
"129";"SLOVENIJA";"15";"2011";"Moski";15126
"130";"SLOVENIJA";"15";"2012";"Moski";14854
"131";"SLOVENIJA";"15";"2013";"Moski";14418
"132";"SLOVENIJA";"15";"2014";"Moski";14942
"133";"SLOVENIJA";"15";"2015";"Moski";15006
"134";"SLOVENIJA";"15";"2016";"Moski";14625
"135";"SLOVENIJA";"15";"2017";"Moski";15488
"136";"SLOVENIJA";"16";"2009";"Moski";16195
"137";"SLOVENIJA";"16";"2010";"Moski";15337
"138";"SLOVENIJA";"16";"2011";"Moski";14508
"139";"SLOVENIJA";"16";"2012";"Moski";13896
"140";"SLOVENIJA";"16";"2013";"Moski";13525
"141";"SLOVENIJA";"16";"2014";"Moski";14072
"142";"SLOVENIJA";"16";"2015";"Moski";13656
"143";"SLOVENIJA";"16";"2016";"Moski";13411
"144";"SLOVENIJA";"16";"2017";"Moski";13959
"145";"SLOVENIJA";"17";"2009";"Moski";14385
"146";"SLOVENIJA";"17";"2010";"Moski";13467
"147";"SLOVENIJA";"17";"2011";"Moski";12626
"148";"SLOVENIJA";"17";"2012";"Moski";12439
"149";"SLOVENIJA";"17";"2013";"Moski";12240
"150";"SLOVENIJA";"17";"2014";"Moski";12506
"151";"SLOVENIJA";"17";"2015";"Moski";12670
