"";"Regija";"Leto";"Stevilo.prostih.delovnih.mest";"Stevilo.zasedenih.delovnih.mest";"Stopnja.prostih.delovnih.mest"
"132";"Goriška";2012;174;37745;0,5
"133";"Obalno-kraška";2001;393;37537;1
"134";"Obalno-kraška";2002;336;38040;0,9
"135";"Obalno-kraška";2003;355;38362;0,9
"136";"Obalno-kraška";2004;395;38308;1
"137";"Obalno-kraška";2005;461;38636;1,2
"138";"Obalno-kraška";2006;467;39280;1,2
"139";"Obalno-kraška";2007;585;40967;1,4
"140";"Obalno-kraška";2008;526;41496;1,3
"141";"Obalno-kraška";2009;340;41226;0,8
"142";"Obalno-kraška";2010;297;40818;0,7
"143";"Obalno-kraška";2011;334;39862;0,8
"144";"Obalno-kraška";2012;308;38146;0,8
