"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2009","Italy","Number","Passenger cars","1,793",""
"2009","Italy","Number","Buses","2",""
"2009","Latvia","Number","Passenger cars","116",""
"2009","Latvia","Number","Buses","1",""
"2009","Lithuania","Number","Passenger cars",":",""
"2009","Lithuania","Number","Buses",":",""
"2009","Luxembourg","Number","Passenger cars","26",""
"2009","Luxembourg","Number","Buses","0",""
"2009","Hungary","Number","Passenger cars","386",""
"2009","Hungary","Number","Buses","3",""
"2009","Netherlands","Number","Passenger cars","288",""
"2009","Netherlands","Number","Buses","0",""
"2009","Austria","Number","Passenger cars","325",""
"2009","Austria","Number","Buses","2",""
"2009","Poland","Number","Passenger cars","2,179",""
"2009","Poland","Number","Buses","19",""
"2009","Portugal","Number","Passenger cars","298",""
"2009","Portugal","Number","Buses","5",""
"2009","Romania","Number","Passenger cars","1,168",""
"2009","Romania","Number","Buses","36",""
"2009","Slovenia","Number","Passenger cars","59",""
"2009","Slovenia","Number","Buses","1",""
"2009","Slovakia","Number","Passenger cars","182",""
"2009","Slovakia","Number","Buses","12",""
"2009","Finland","Number","Passenger cars","165",""
"2009","Finland","Number","Buses","1",""
"2009","Sweden","Number","Passenger cars","219",""
"2009","Sweden","Number","Buses","0",""
"2009","United Kingdom","Number","Passenger cars","1,123",""
"2009","United Kingdom","Number","Buses","16",""
"2009","Norway","Number","Passenger cars","127",""
"2009","Norway","Number","Buses","1",""
"2009","Switzerland","Number","Passenger cars","136",""
"2009","Switzerland","Number","Buses","0",""
"2010","European Union (current composition)","Number","Passenger cars",":",""
"2010","European Union (current composition)","Number","Buses",":",""
"2010","Belgium","Number","Passenger cars","443",""
"2010","Belgium","Number","Buses","1",""
"2010","Bulgaria","Number","Passenger cars","478",""
"2010","Bulgaria","Number","Buses","3",""
"2010","Czechia","Number","Passenger cars","403",""
"2010","Czechia","Number","Buses","1",""
"2010","Denmark","Number","Passenger cars","135",""
"2010","Denmark","Number","Buses","0",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","1,840",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Buses","32",""
"2010","Estonia","Number","Passenger cars","44",""
"2010","Estonia","Number","Buses","4",""
"2010","Ireland","Number","Passenger cars","129",""
"2010","Ireland","Number","Buses","1",""
"2010","Greece","Number","Passenger cars","545",""
"2010","Greece","Number","Buses","2",""
"2010","Spain","Number","Passenger cars","1,187",""
"2010","Spain","Number","Buses","3",""
"2010","France","Number","Passenger cars","2,117",""
"2010","France","Number","Buses","4",""
"2010","Croatia","Number","Passenger cars","205",""
"2010","Croatia","Number","Buses","0",""
