"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2011";27769;14508;13261
" ";" ";"2012";26835;13896;12939
" ";" ";"2013";26712;13525;13187
" ";" ";"2014";27175;14072;13103
" ";" ";"2015";26542;13656;12886
" ";" ";"2016";27296;13411;13885
" ";" ";"2017 (zaèasni podatki)";27956;13959;13997
" ";"17"
" ";" ";"2009";29839;14385;15454
" ";" ";"2010";28516;13467;15049
" ";" ";"2011";27560;12626;14934
" ";" ";"2012";26960;12439;14521
" ";" ";"2013";26748;12240;14508
" ";" ";"2014";27029;12506;14523
" ";" ";"2015";26695;12670;14025
" ";" ";"2016";27033;12458;14575
" ";" ";"2017 (zaèasni podatki)";28327;13379;14948
" ";"18"
" ";" ";"2009";29886;13468;16418
" ";" ";"2010";28473;13051;15422
" ";" ";"2011";27553;12572;14981
" ";" ";"2012";27061;12757;14304
" ";" ";"2013";26578;12933;13645
" ";" ";"2014";26977;13357;13620
" ";" ";"2015";26836;13413;13423
" ";" ";"2016";27124;13918;13206
" ";" ";"2017 (zaèasni podatki)";28106;14735;13371
" ";"19"
" ";" ";"2009";29830;15966;13864
" ";" ";"2010";28535;15509;13026
" ";" ";"2011";27666;15017;12649
" ";" ";"2012";26883;14871;12012
" ";" ";"2013";26709;14798;11911
" ";" ";"2014";27027;15100;11927
" ";" ";"2015";26643;15153;11490
" ";" ";"2016";27035;15327;11708
" ";" ";"2017 (zaèasni podatki)";28115;16166;11949
" ";"20"
" ";" ";"2009";29887;18739;11148
" ";" ";"2010";28519;17822;10697
" ";" ";"2011";27587;17268;10319
" ";" ";"2012";26921;16829;10092
" ";" ";"2013";26646;16674;9972
" ";" ";"2014";27033;16969;10064
" ";" ";"2015";26696;16836;9860
" ";" ";"2016";27111;17048;10063
" ";" ";"2017 (zaèasni podatki)";28118;17450;10668
"Pomurska"
" ";"Razred neto - SKUPAJ"
" ";" ";"2009";24559;14025;10534
" ";" ";"2010";24926;13597;11329
" ";" ";"2011";23484;12845;10639
" ";" ";"2012";23871;12846;11025
" ";" ";"2013";23553;12470;11083
" ";" ";"2014";22699;12484;10215
" ";" ";"2015";22390;12323;10067
" ";" ";"2016";23260;12593;10667
" ";" ";"2017 (zaèasni podatki)";23710;12778;10932
" ";"01"
" ";" ";"2009";923;524;399
" ";" ";"2010";1349;510;839
" ";" ";"2011";1220;485;735
" ";" ";"2012";1371;574;797
" ";" ";"2013";1564;553;1011
" ";" ";"2014";1111;500;611
" ";" ";"2015";1233;521;712
" ";" ";"2016";1307;480;827
" ";" ";"2017 (zaèasni podatki)";1325;461;864
" ";"02"
" ";" ";"2009";1536;664;872
" ";" ";"2010";1740;700;1040
" ";" ";"2011";1469;604;865
" ";" ";"2012";1535;556;979
" ";" ";"2013";1546;592;954
" ";" ";"2014";1206;470;736
" ";" ";"2015";1348;502;846
" ";" ";"2016";1495;503;992
" ";" ";"2017 (zaèasni podatki)";1504;538;966
" ";"03"
" ";" ";"2009";1702;783;919
" ";" ";"2010";1907;910;997
" ";" ";"2011";1701;798;903
" ";" ";"2012";1910;851;1059
" ";" ";"2013";1796;786;1010
" ";" ";"2014";1552;718;834
" ";" ";"2015";1405;670;735
" ";" ";"2016";1514;695;819
" ";" ";"2017 (zaèasni podatki)";1442;614;828
" ";"04"
" ";" ";"2009";1553;850;703
" ";" ";"2010";1677;934;743
" ";" ";"2011";1602;827;775
" ";" ";"2012";1595;822;773
" ";" ";"2013";1434;689;745
" ";" ";"2014";1506;745;761
" ";" ";"2015";1471;730;741
" ";" ";"2016";1528;725;803
" ";" ";"2017 (zaèasni podatki)";1562;728;834
" ";"05"
" ";" ";"2009";1334;850;484
" ";" ";"2010";1562;949;613
" ";" ";"2011";1533;905;628
" ";" ";"2012";1477;807;670
" ";" ";"2013";1625;920;705
" ";" ";"2014";1579;882;697
" ";" ";"2015";1488;813;675
" ";" ";"2016";1498;793;705
" ";" ";"2017 (zaèasni podatki)";1732;921;811
" ";"06"
" ";" ";"2009";1466;995;471
" ";" ";"2010";1546;1017;529
" ";" ";"2011";1421;915;506
" ";" ";"2012";1468;938;530
" ";" ";"2013";1497;954;543
" ";" ";"2014";1549;1012;537
" ";" ";"2015";1477;940;537
" ";" ";"2016";1544;984;560
" ";" ";"2017 (zaèasni podatki)";1635;1051;584
" ";"07"
" ";" ";"2009";1524;1077;447
" ";" ";"2010";1436;925;511
" ";" ";"2011";1396;945;451
" ";" ";"2012";1371;920;451
" ";" ";"2013";1370;938;432
" ";" ";"2014";1315;872;443
" ";" ";"2015";1381;916;465
" ";" ";"2016";1448;977;471
" ";" ";"2017 (zaèasni podatki)";1432;968;464
" ";"08"
" ";" ";"2009";1521;1053;468
