"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: STATISTIÈNA REGIJA, MESEC, SPOL ,"
"MERITVE"

" ";" ";" ";"2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"3 Registrirane brezposelne osebe";"4 Stopnja registrirane brezposelnosti"
"SLOVENIJA"
" ";"2005"
" ";" ";"Spol - SKUPAJ";29399;3678;11.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";29366;3790;11.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";29996;3155;9.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";30697;2570;7.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";30349;3167;9.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";28519;4222;12.9
" ";" ";"Moški";15996;2194;12.1
" ";" ";"Ženske";12523;2028;13.9
" ";"2011"
" ";" ";"Spol - SKUPAJ";27645;4823;14.9
" ";" ";"Moški";15822;2183;12.1
" ";" ";"Ženske";11823;2640;18.3
" ";"2012"
" ";" ";"Spol - SKUPAJ";28071;4329;13.4
" ";" ";"Moški";16065;1887;10.5
" ";" ";"Ženske";12006;2442;16.9
" ";"2013"
" ";" ";"Spol - SKUPAJ";27016;4648;14.7
" ";" ";"Moški";15375;2143;12.2
" ";" ";"Ženske";11641;2505;17.7
" ";"2014"
" ";" ";"Spol - SKUPAJ";26644;4593;14.7
" ";" ";"Moški";15198;2133;12.3
" ";" ";"Ženske";11446;2460;17.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";26899;4037;13.0
" ";" ";"Moški";15334;1819;10.6
" ";" ";"Ženske";11565;2218;16.1
" ";"2016"
" ";" ";"Spol - SKUPAJ";26602;3681;12.2
" ";" ";"Moški";14834;1682;10.2
" ";" ";"Ženske";11768;1999;14.5
" ";"2017"
" ";" ";"Spol - SKUPAJ";27171;3041;10.1
" ";" ";"Moški";15119;1354;8.2
" ";" ";"Ženske";12052;1687;12.3
"Savinjska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";103566;15073;12.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";104544;15351;12.8
" ";" ";"Moški";-;-;-
