"";"Regija";"Dejavnost";"Leto";"Plača.za.obodbje.v.EUR";"Plača_za_delano_uro_v_obdobju.v.EUR";"Indeks.spremembe.plače.glede.na.prejšnje.obdobje"
"60";"SLOVENIJA";"D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO";2016;1407,78;8,2;98,7
"61";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2005;713,24;4,25;106,3
"62";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2006;756,12;4,32;106
"63";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2007;819,39;4,49;108,4
"64";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2008;878,83;4,88;107,3
"65";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2009;914,78;5,24;104,1
"66";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2010;915,97;5,46;100,1
"67";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2011;919;5,53;100,3
"68";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2012;944,75;5,48;102,8
"69";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2013;971,77;5,41;102,9
"70";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2014;974,16;5,47;100,2
"71";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2015;970,43;5,59;99,6
"72";"SLOVENIJA";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";2016;973,66;5,68;101
"73";"SLOVENIJA";"F GRADBENIŠTVO";2005;584,75;3,45;104,7
"74";"SLOVENIJA";"F GRADBENIŠTVO";2006;616,24;3,58;105,4
"75";"SLOVENIJA";"F GRADBENIŠTVO";2007;679;3,8;110,2
"76";"SLOVENIJA";"F GRADBENIŠTVO";2008;727,73;4,08;107,2
"77";"SLOVENIJA";"F GRADBENIŠTVO";2009;738,09;4,34;101,4
"78";"SLOVENIJA";"F GRADBENIŠTVO";2010;743,68;4,49;100,8
"79";"SLOVENIJA";"F GRADBENIŠTVO";2011;804,68;4,88;108,2
"80";"SLOVENIJA";"F GRADBENIŠTVO";2012;816,97;4,82;101,5
"81";"SLOVENIJA";"F GRADBENIŠTVO";2013;811,05;4,69;99,3
"82";"SLOVENIJA";"F GRADBENIŠTVO";2014;798,2;4,64;98,4
"83";"SLOVENIJA";"F GRADBENIŠTVO";2015;789,68;4,73;98,9
"84";"SLOVENIJA";"F GRADBENIŠTVO";2016;797,37;4,81;99,2
"85";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2005;635,12;3,8;106
"86";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2006;666,54;3,94;104,9
"87";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2007;738,14;4,23;110,7
"88";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2008;784,88;4,5;106,3
"89";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2009;828,53;4,88;105,6
"90";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2010;831,68;5,08;100,4
"91";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2011;868,24;5,32;104,4
"92";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2012;894,22;5,32;103
"93";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2013;896,12;5,16;100,2
"94";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2014;899,45;5,19;100,4
"95";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2015;902,99;5,38;100,4
"96";"SLOVENIJA";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";2016;910,12;5,51;100,9
"97";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2005;745,35;4,46;108,5
"98";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2006;756,92;4,42;101,6
"99";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2007;816,21;4,62;107,8
"100";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2008;892,67;5,03;109,4
"101";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2009;921,73;5,38;103,3
"102";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2010;908,86;5,47;98,6
"103";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2011;940,13;5,7;103,4
"104";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2012;967,79;5,7;102,9
"105";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2013;959,1;5,48;99,1
"106";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2014;967,61;5,53;100,9
"107";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2015;960,79;5,68;99,3
"108";"SLOVENIJA";"H PROMET IN SKLADIŠČENJE";2016;951,32;5,66;100,1
"109";"SLOVENIJA";"I GOSTINSTVO";2005;560,48;3,38;105,3
"110";"SLOVENIJA";"I GOSTINSTVO";2006;581,68;3,48;103,8
"111";"SLOVENIJA";"I GOSTINSTVO";2007;610,91;3,57;105
"112";"SLOVENIJA";"I GOSTINSTVO";2008;664,97;3,9;108,8
