"Statistika prostih delovnih mest po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest [%] - SKUPAJ";"Stopnja prostih delovnih mest [%] - [10+]"
" ";"2001";393;37537;1.0;0.9
" ";"2002";336;38040;0.9;0.7
" ";"2003";355;38362;0.9;0.8
" ";"2004";395;38308;1.0;0.9
" ";"2005";461;38636;1.2;1.0
" ";"2006";467;39280;1.2;1.1
" ";"2007";585;40967;1.4;1.2
" ";"2008";526;41496;1.3;1.1
" ";"2009";340;41226;0.8;0.7
" ";"2010";297;40818;0.7;0.6
" ";"2011";334;39862;0.8;0.7
" ";"2012";308;38146;0.8;0.7

"Vir: Statistièni urad Republike Slovenije. "
" "
"Raziskava o prostih delovnih mestih temelji na izkljuèno "
"administrativnih virih: "
"- podatke o prostih delovnih mestih  pridobimo od Zavoda RS za "
"zaposlovanje, ki jih zbira na obrazcu PD-1; "
"- podatke o zasedenih delovnih mestih pa pridobimo iz Statistiènega "
"registra delovno aktivnega prebivalstva [SRDAP], ki ga vzdržuje naš "
"urad. "

"Povezave: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8157 target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot [(seznam "
"HREF=../database/Meta/Klas/SKTE.htm TARGET=_blank) opis in "
"pojasnila], raven SKTE 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe [zvezdica]. V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

"Velikost je doloèena glede na število zasedenih delovnih mest: "
"- SKUPAJ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni "
"subjekti v celoti [v kolikor le-ti nimajo podrejene enote], pri "
"katerih je zaposlena vsaj ena oseba; "
"- 10+ vkljuèeni so vsi deli poslovnih subjektov oz. poslovni subjekti "
"v celoti [v kolikor le-ti nimajo podrejene enote], pri katerih je "
"zaposlenih 10 ali veè oseb. "

